file_asli,file_hasil,status,keterangan,dimensi_asli,ukuran_asli,ukuran_hasil
jpx_angel_heart.png,jpx_angel_heart.png,processed,diresize ke 100x100,120x120,72.2 KB,6.2 KB
jpx_baby_witch_doll.png,jpx_baby_witch_doll.png,processed,diresize ke 100x100,120x120,76.4 KB,9.4 KB
jpx_black_spell.png,jpx_black_spell.png,processed,diresize ke 100x100,120x120,75.4 KB,7.5 KB
jpx_bone.png,jpx_bone.png,processed,diresize ke 100x100,120x120,76.2 KB,10.2 KB
jpx_coffin_cat.png,jpx_coffin_cat.png,processed,diresize ke 100x100,120x120,78.0 KB,10.7 KB
jpx_cute_pumpkin_cat.png,jpx_cute_pumpkin_cat.png,processed,diresize ke 100x100,120x120,69.1 KB,6.1 KB
jpx_demon_bear.png,jpx_demon_bear.png,processed,diresize ke 100x100,128x128,76.4 KB,8.2 KB
jpx_demon_blood_collection.png,jpx_demon_blood_collection.png,processed,diresize ke 100x100,128x128,66.4 KB,3.6 KB
jpx_demon_chachamaru.png,jpx_demon_chachamaru.png,processed,diresize ke 100x100,128x128,80.0 KB,10.6 KB
jpx_demon_daki_fabric.png,jpx_demon_daki_fabric.png,processed,diresize ke 100x100,128x128,72.4 KB,6.5 KB
jpx_demon_giyu_katana.png,jpx_demon_giyu_katana.png,processed,diresize ke 100x100,128x128,79.6 KB,8.8 KB
jpx_demon_gyutaro_scythe.png,jpx_demon_gyutaro_scythe.png,processed,diresize ke 100x100,128x128,77.7 KB,8.7 KB
jpx_demon_gyutaro_scythe2.png,jpx_demon_gyutaro_scythe2.png,processed,diresize ke 100x100,128x128,75.1 KB,7.2 KB
jpx_demon_hotaru_mask.png,jpx_demon_hotaru_mask.png,processed,diresize ke 100x100,128x128,77.5 KB,9.1 KB
jpx_demon_hotaru_swordbox.png,jpx_demon_hotaru_swordbox.png,processed,diresize ke 100x100,128x128,76.2 KB,7.9 KB
jpx_demon_inosuke_katana.png,jpx_demon_inosuke_katana.png,processed,diresize ke 100x100,128x128,79.2 KB,7.6 KB
jpx_demon_inosuke_mask.png,jpx_demon_inosuke_mask.png,processed,diresize ke 100x100,128x128,80.1 KB,10.8 KB
jpx_demon_kanao_katana.png,jpx_demon_kanao_katana.png,processed,diresize ke 100x100,128x128,77.9 KB,8.9 KB
jpx_demon_kozo_mask.png,jpx_demon_kozo_mask.png,processed,diresize ke 100x100,128x128,75.1 KB,8.0 KB
jpx_demon_magic_circle.png,jpx_demon_magic_circle.png,processed,diresize ke 100x100,128x128,82.5 KB,14.7 KB
jpx_demon_makomo_mask.png,jpx_demon_makomo_mask.png,processed,diresize ke 100x100,128x128,70.6 KB,6.0 KB
jpx_demon_mitsuri_katana.png,jpx_demon_mitsuri_katana.png,processed,diresize ke 100x100,128x128,76.3 KB,8.5 KB
jpx_demon_muichiro_katana.png,jpx_demon_muichiro_katana.png,processed,diresize ke 100x100,128x128,80.3 KB,7.9 KB
jpx_demon_nezuko_bamboo.png,jpx_demon_nezuko_bamboo.png,processed,diresize ke 100x100,128x128,70.4 KB,5.2 KB
jpx_demon_nezuko_box.png,jpx_demon_nezuko_box.png,processed,diresize ke 100x100,128x128,75.2 KB,8.7 KB
jpx_demon_obanai_katana.png,jpx_demon_obanai_katana.png,processed,diresize ke 100x100,128x128,81.7 KB,8.7 KB
jpx_demon_obanai_snake.png,jpx_demon_obanai_snake.png,processed,diresize ke 100x100,128x128,73.7 KB,6.1 KB
jpx_demon_rengoku_coat.png,jpx_demon_rengoku_coat.png,processed,diresize ke 100x100,128x128,76.2 KB,8.7 KB
jpx_demon_rengoku_katana.png,jpx_demon_rengoku_katana.png,processed,diresize ke 100x100,128x128,79.5 KB,8.5 KB
jpx_demon_rui_spider.png,jpx_demon_rui_spider.png,processed,diresize ke 100x100,128x128,81.5 KB,10.8 KB
jpx_demon_rui_spider_demon.png,jpx_demon_rui_spider_demon.png,processed,diresize ke 100x100,128x128,73.9 KB,6.4 KB
jpx_demon_rui_spider_mask.png,jpx_demon_rui_spider_mask.png,processed,diresize ke 100x100,128x128,80.8 KB,10.5 KB
jpx_devil_heart.png,jpx_devil_heart.png,processed,diresize ke 100x100,120x120,72.3 KB,6.8 KB
jpx_devil_magic_staff.png,jpx_devil_magic_staff.png,processed,diresize ke 100x100,120x120,65.0 KB,1.9 KB
jpx_duckling_back.png,jpx_duckling_back.png,processed,diresize ke 100x100,128x128,81.1 KB,10.6 KB
jpx_duckling_backpack.png,jpx_duckling_backpack.png,processed,diresize ke 100x100,128x128,79.0 KB,9.8 KB
jpx_duckling_balloon.png,jpx_duckling_balloon.png,processed,diresize ke 100x100,128x128,72.3 KB,5.0 KB
jpx_duckling_blow.png,jpx_duckling_blow.png,processed,diresize ke 100x100,128x128,81.3 KB,10.7 KB
jpx_duckling_egg.png,jpx_duckling_egg.png,processed,diresize ke 100x100,128x128,81.6 KB,11.1 KB
